Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Day of the week
01/12/2017,254,0,-5.2,37,2.2,2000,0.0,0.0,0.0,4
01/12/2017,204,1,-5.5,38,0.8,2000,0.0,0.0,0.0,4
01/12/2017,173,2,-6.0,39,1.0,2000,0.0,0.0,0.0,4
01/12/2017,107,3,-6.2,40,0.9,2000,0.0,0.0,0.0,4
01/12/2017,78,4,-6.0,36,2.3,2000,0.0,0.0,0.0,4
01/12/2017,100,5,-6.4,37,1.5,2000,0.0,0.0,0.0,4
01/12/2017,181,6,-6.6,35,1.3,2000,0.0,0.0,0.0,4
01/12/2017,460,7,-7.4,38,0.9,2000,0.0,0.0,0.0,4
01/12/2017,930,8,-7.6,37,1.1,2000,0.01,0.0,0.0,4
01/12/2017,490,9,-6.5,27,0.5,1928,0.23,0.0,0.0,4
01/12/2017,339,10,-3.5,24,1.2,1996,0.65,0.0,0.0,4
01/12/2017,360,11,-0.5,21,1.3,1936,0.94,0.0,0.0,4
01/12/2017,449,12,1.7,23,1.4,2000,1.11,0.0,0.0,4
01/12/2017,451,13,2.4,25,1.6,2000,1.16,0.0,0.0,4
01/12/2017,447,14,3.0,26,2.0,2000,1.01,0.0,0.0,4
01/12/2017,463,15,2.1,36,3.2,2000,0.54,0.0,0.0,4
01/12/2017,484,16,1.2,54,4.2,793,0.24,0.0,0.0,4
01/12/2017,555,17,0.8,58,1.6,2000,0.08,0.0,0.0,4
01/12/2017,862,18,0.6,66,1.4,2000,0.0,0.0,0.0,4
01/12/2017,600,19,0.0,77,1.7,2000,0.0,0.0,0.0,4
01/12/2017,426,20,-0.3,79,1.5,1913,0.0,0.0,0.0,4
01/12/2017,405,21,-0.8,81,0.8,1687,0.0,0.0,0.0,4
01/12/2017,398,22,-0.9,83,1.5,1380,0.0,0.0,0.0,4
01/12/2017,323,23,-1.3,84,1.0,1265,0.0,0.0,0.0,4
02/12/2017,328,0,-1.8,87,1.1,994,0.0,0.0,0.0,5
02/12/2017,308,1,-2.2,86,0.6,990,0.0,0.0,0.0,5
02/12/2017,262,2,-2.9,86,1.5,1256,0.0,0.0,0.0,5
02/12/2017,167,3,-3.5,81,2.2,1221,0.0,0.0,0.0,5
02/12/2017,89,4,-3.8,79,2.0,1167,0.0,0.0,0.0,5
02/12/2017,79,5,-4.0,79,1.5,1202,0.0,0.0,0.0,5
02/12/2017,70,6,-4.3,82,2.1,1178,0.0,0.0,0.0,5
02/12/2017,146,7,-4.4,81,2.5,1276,0.0,0.0,0.0,5
02/12/2017,219,8,-4.2,79,2.1,1436,0.01,0.0,0.0,5
02/12/2017,328,9,-2.9,68,1.6,1487,0.3,0.0,0.0,5
02/12/2017,334,10,-0.4,57,1.6,1309,0.8,0.0,0.0,5
02/12/2017,388,11,1.9,49,1.8,1406,1.0,0.0,0.0,5
02/12/2017,479,12,4.3,41,1.3,1666,1.09,0.0,0.0,5
02/12/2017,606,13,6.0,36,1.8,1780,1.12,0.0,0.0,5
02/12/2017,611,14,7.3,35,1.3,1955,0.99,0.0,0.0,5
02/12/2017,589,15,7.6,41,2.3,1953,0.74,0.0,0.0,5
02/12/2017,618,16,6.4,48,2.6,1945,0.22,0.0,0.0,5
02/12/2017,572,17,6.0,51,2.5,1891,0.06,0.0,0.0,5
02/12/2017,489,18,5.5,53,1.5,1697,0.0,0.0,0.0,5
02/12/2017,385,19,5.0,52,2.3,1666,0.0,0.0,0.0,5
02/12/2017,359,20,4.6,51,1.2,1585,0.0,0.0,0.0,5
02/12/2017,377,21,4.1,55,1.2,1448,0.0,0.0,0.0,5
02/12/2017,354,22,3.5,54,1.5,1446,0.0,0.0,0.0,5
02/12/2017,366,23,4.0,56,1.0,1352,0.0,0.0,0.0,5
03/12/2017,342,0,4.0,58,1.4,1296,0.0,0.0,0.0,6
03/12/2017,227,1,3.9,69,1.7,485,0.0,0.0,0.0,6
03/12/2017,228,2,3.3,79,1.4,830,0.0,0.0,0.0,6
03/12/2017,117,3,3.4,71,1.6,1011,0.0,0.5,0.0,6
03/12/2017,76,4,3.5,73,1.0,1060,0.0,0.0,0.0,6
03/12/2017,32,5,3.9,75,1.9,914,0.0,0.0,0.0,6
03/12/2017,13,6,3.4,86,2.5,278,0.0,1.0,0.0,6
03/12/2017,22,7,3.1,91,1.2,129,0.0,0.0,0.0,6
03/12/2017,85,8,3.2,92,1.8,244,0.0,0.0,0.0,6
03/12/2017,152,9,3.5,91,1.8,231,0.02,2.5,0.0,6
03/12/2017,200,10,4.4,89,2.2,257,0.24,0.0,0.0,6
03/12/2017,273,11,5.1,87,1.4,321,0.25,0.0,0.0,6
03/12/2017,333,12,5.8,85,1.7,349,0.43,0.0,0.0,6
03/12/2017,495,13,6.8,81,1.9,390,0.6,0.0,0.0,6
03/12/2017,563,14,7.6,76,1.2,422,0.69,0.0,0.0,6
03/12/2017,621,15,8.0,73,1.6,433,0.53,0.0,0.0,6
03/12/2017,598,16,7.6,77,1.6,399,0.2,0.0,0.0,6
03/12/2017,545,17,6.7,82,1.5,358,0.05,0.0,0.0,6
03/12/2017,443,18,6.0,84,1.9,327,0.0,0.0,0.0,6
03/12/2017,422,19,5.7,85,1.7,309,0.0,0.0,0.0,6
03/12/2017,397,20,5.2,87,1.4,253,0.0,0.0,0.0,6
03/12/2017,385,21,4.7,87,1.2,247,0.0,0.0,0.0,6
03/12/2017,350,22,4.3,89,1.8,201,0.0,0.0,0.0,6
03/12/2017,303,23,3.9,90,1.3,194,0.0,0.0,0.0,6
04/12/2017,285,0,4.2,88,0.6,216,0.0,0.0,0.0,0
04/12/2017,186,1,4.3,87,0.5,221,0.0,0.0,0.0,0
04/12/2017,112,2,4.4,87,1.8,207,0.0,0.0,0.0,0
04/12/2017,65,3,3.6,85,2.3,206,0.0,0.0,0.0,0
04/12/2017,41,4,2.8,89,1.5,130,0.0,0.0,0.0,0
04/12/2017,82,5,2.0,83,2.7,253,0.0,0.0,0.0,0
04/12/2017,200,6,1.2,76,3.7,371,0.0,0.1,0.0,0
04/12/2017,498,7,0.2,68,3.4,702,0.0,0.0,0.0,0
04/12/2017,937,8,-0.8,69,3.5,954,0.01,0.0,0.0,0
04/12/2017,509,9,-1.5,47,4.2,1888,0.22,0.0,0.0,0
04/12/2017,311,10,-1.1,40,4.5,2000,0.64,0.0,0.0,0
04/12/2017,379,11,-0.5,41,4.1,1799,0.94,0.0,0.0,0
04/12/2017,393,12,-0.3,38,4.8,1823,1.11,0.0,0.0,0
04/12/2017,391,13,0.0,30,5.4,1938,1.17,0.0,0.0,0
04/12/2017,338,14,0.1,27,4.5,2000,1.09,0.0,0.0,0
04/12/2017,341,15,-0.1,25,5.8,2000,0.88,0.0,0.0,0
04/12/2017,375,16,-0.2,23,4.7,2000,0.55,0.0,0.0,0
04/12/2017,515,17,-1.3,26,5.3,2000,0.18,0.0,0.0,0
04/12/2017,807,18,-2.1,29,3.9,2000,0.0,0.0,0.0,0
04/12/2017,568,19,-2.9,32,3.2,2000,0.0,0.0,0.0,0
04/12/2017,398,20,-3.6,38,3.0,2000,0.0,0.0,0.0,0
04/12/2017,397,21,-4.6,43,4.5,2000,0.0,0.0,0.0,0
04/12/2017,353,22,-5.3,45,2.5,2000,0.0,0.0,0.0,0
04/12/2017,248,23,-5.8,44,2.4,2000,0.0,0.0,0.0,0
05/12/2017,216,0,-6.1,42,2.6,2000,0.0,0.0,0.0,1
05/12/2017,198,1,-6.5,41,2.8,2000,0.0,0.0,0.0,1
05/12/2017,124,2,-6.8,41,2.5,2000,0.0,0.0,0.0,1
05/12/2017,62,3,-6.9,39,2.0,2000,0.0,0.0,0.0,1
05/12/2017,42,4,-7.2,34,3.0,2000,0.0,0.0,0.0,1
05/12/2017,82,5,-7.4,33,2.6,2000,0.0,0.0,0.0,1
05/12/2017,172,6,-7.4,34,3.2,2000,0.0,0.0,0.0,1
05/12/2017,381,7,-7.5,33,2.2,2000,0.0,0.0,0.0,1
05/12/2017,812,8,-8.1,36,1.6,2000,0.01,0.0,0.0,1
05/12/2017,462,9,-7.6,31,1.3,1974,0.21,0.0,0.0,1
05/12/2017,269,10,-5.5,26,2.8,1967,0.64,0.0,0.0,1
05/12/2017,334,11,-3.9,25,0.0,1959,0.0,0.0,0.0,1
05/12/2017,321,12,-2.3,25,0.0,1962,0.0,0.0,0.0,1
05/12/2017,325,13,-1.6,27,0.0,1955,0.0,0.0,0.0,1
05/12/2017,334,14,-1.1,28,0.0,2000,0.0,0.0,0.0,1
05/12/2017,353,15,-0.7,28,0.0,2000,0.0,0.0,0.0,1
05/12/2017,435,16,-0.5,30,0.0,2000,0.0,0.0,0.0,1
05/12/2017,529,17,-1.6,35,0.0,2000,0.0,0.0,0.0,1
05/12/2017,789,18,-2.6,40,0.0,2000,0.0,0.0,0.0,1
05/12/2017,597,19,-3.2,45,0.0,2000,0.0,0.0,0.0,1
05/12/2017,418,20,-3.5,46,0.0,2000,0.0,0.0,0.0,1
05/12/2017,415,21,-3.7,47,0.0,2000,0.0,0.0,0.0,1
